1,Человек-паук: Нет пути домой,фантастика боевик приключения,2021,США,9.5,https://www.kinoafisha.info/movies/8356586/
2,Истребитель демонов: Поезд «Бесконечный»,боевик приключения анимация,2020,Япония,9.2,https://www.kinoafisha.info/movies/8364450/
3,Лука,анимация приключения фэнтези,2021,США,9.2,https://www.kinoafisha.info/movies/8361061/
4,Зеленая миля,драма,1999,США,9.1,https://www.kinoafisha.info/movies/4982409/
5,Шан-Чи и легенда десяти колец,фэнтези боевик комедия,2021,США,9.1,https://www.kinoafisha.info/movies/8356369/
6,Небо,военный драма,2020,Россия,9.1,https://www.kinoafisha.info/movies/8365151/
7,FORD против FERRARI,биография драма спорт,2019,США,9.0,https://www.kinoafisha.info/movies/8354457/
8,1+1,комедия драма биография,2011,Франция,9.0,https://www.kinoafisha.info/movies/8133315/
9,Король Лев,мюзикл приключения драма семейный комедия анимация,1994,США,9.0,https://www.kinoafisha.info/movies/4620118/
10,Кошачьи миры Луиса Уэйна,биография драма исторический,2021,Великобритания,8.9,https://www.kinoafisha.info/movies/8363252/
11,Хатико: самый верный друг,семейный драма,2009,США,8.9,https://www.kinoafisha.info/movies/7719764/
12,The Box,драма музыка мюзикл,2021,Корея,8.9,https://www.kinoafisha.info/movies/8364416/
13,Побег из Шоушенка,драма триллер,1994,США,8.9,https://www.kinoafisha.info/movies/7731571/
14,101 далматинец,семейный приключения анимация,1961,США,8.9,https://www.kinoafisha.info/movies/7377347/
15,Пираты Карибского моря: Проклятие черной жемчужины,приключения боевик,2003,США,8.9,https://www.kinoafisha.info/movies/5371/
16,Душа,анимация семейный приключения комедия,2020,США,8.9,https://www.kinoafisha.info/movies/8356310/
17,Человек божий,драма,2021,Греция,8.9,https://www.kinoafisha.info/movies/8364492/
18,Круэлла,комедия,2021,США,8.9,https://www.kinoafisha.info/movies/8326542/
19,Как приручить дракона 3,анимация семейный комедия приключения,2018,США,8.9,https://www.kinoafisha.info/movies/8168520/
20,Ходячий замок,аниме  сказка фантастика мелодрама,2004,Япония,8.8,https://www.kinoafisha.info/movies/329966/
21,Райя и последний дракон,анимация,2021,США,8.8,https://www.kinoafisha.info/movies/8356471/
22,Энканто,приключения анимация комедия,2021,США Колумбия,8.8,https://www.kinoafisha.info/movies/8364896/
23,Аватар,боевик фантастика триллер,2009,США,8.8,https://www.kinoafisha.info/movies/3430393/
24,Большой красный пес Клиффорд,анимация семейный,2021,США,8.8,https://www.kinoafisha.info/movies/8356337/
25,Начало,боевик фантастика триллер,2010,США Великобритания,8.8,https://www.kinoafisha.info/movies/7794008/
26,Ее заветное желание,анимация драма мелодрама,2020,Япония,8.8,https://www.kinoafisha.info/movies/8364795/
27,Аватар: Специальная версия,боевик триллер фантастика,2010,США,8.8,https://www.kinoafisha.info/movies/8097574/
28,Джентльмены удачи,криминал комедия,1971,СССР,8.8,https://www.kinoafisha.info/movies/5435753/
29,Джентльмены,боевик криминал,2020,США,8.8,https://www.kinoafisha.info/movies/8356474/
30,Место встречи изменить нельзя,криминал детектив боевик,1979,СССР,8.7,https://www.kinoafisha.info/movies/7731595/
31,Изгой,приключения драма,2000,США,8.7,https://www.kinoafisha.info/movies/4983627/
32,Бриллиантовая рука,комедия приключения криминал,1968,СССР,8.7,https://www.kinoafisha.info/movies/5425175/
33,Леон,драма триллер криминал,1994,Франция,8.7,https://www.kinoafisha.info/movies/3443444/
34,Терминатор 2: судный день,боевик триллер фантастика приключения,1991,США Франция,8.7,https://www.kinoafisha.info/movies/4089627/
35,Зеленая книга,драма,2018,США,8.7,https://www.kinoafisha.info/movies/8355131/
36,Гнев человеческий,криминал боевик триллер,2021,Великобритания,8.7,https://www.kinoafisha.info/movies/8356609/
37,Матрица,боевик фантастика триллер,1999,Австралия США,8.7,https://www.kinoafisha.info/movies/3788758/
38,Пираты Карибского моря: На странных берегах,боевик комедия приключения,2011,США,8.7,https://www.kinoafisha.info/movies/7796468/
39,Холодное сердце 2,анимация семейный детский,2019,США,8.7,https://www.kinoafisha.info/movies/8329619/
40,Тайна Коко,анимация приключения,2017,США,8.7,https://www.kinoafisha.info/movies/8329302/
41,Любовь и голуби,комедия мелодрама,1984,СССР,8.7,https://www.kinoafisha.info/movies/5920923/
42,Иван Васильевич меняет профессию,комедия фантастика,1973,СССР,8.7,https://www.kinoafisha.info/movies/1624187/
43,Шугалей 3,боевик,2021,Россия,8.7,https://www.kinoafisha.info/movies/8365281/
44,Эверест,анимация,2019,США,8.7,https://www.kinoafisha.info/movies/8329045/
45,"Где ты, Адам?",документальный,2019,Россия,8.7,https://www.kinoafisha.info/movies/8360968/
46,Холодное сердце,приключения анимация семейный,2013,США,8.7,https://www.kinoafisha.info/movies/8141185/
47,Богемская рапсодия,драма биография мюзикл,2018,США Великобритания,8.7,https://www.kinoafisha.info/movies/8329800/
48,Форрест Гамп,комедия мелодрама драма,1994,США,8.7,https://www.kinoafisha.info/movies/4162346/
49,А зори здесь тихие,исторический драма военный,1972,СССР,8.7,https://www.kinoafisha.info/movies/7714889/
50,Не время умирать,боевик криминал триллер приключения,2021,США Великобритания,8.7,https://www.kinoafisha.info/movies/8330803/
51,Гладиатор,приключения драма боевик,2000,Великобритания США,8.7,https://www.kinoafisha.info/movies/3577687/
52,Вайолет Эвергарден. Фильм,анимация драма фэнтези,2020,Япония,8.7,https://www.kinoafisha.info/movies/8363166/
53,Титаник,мелодрама драма приключения,1997,США,8.6,https://www.kinoafisha.info/movies/3577360/
54,Терминатор 2: Судный день 3D,боевик триллер,2017,США,8.6,https://www.kinoafisha.info/movies/8327702/
55,Законопослушный гражданин,триллер драма,2009,США,8.6,https://www.kinoafisha.info/movies/5780637/
56,Малефисента: Владычица тьмы,фэнтези семейный приключения,2019,США,8.6,https://www.kinoafisha.info/movies/8326540/
57,Главный герой,фантастика боевик комедия приключения,2021,США,8.6,https://www.kinoafisha.info/movies/8356294/
58,Унесенные призраками,аниме  семейный анимация приключения,2001,Япония,8.6,https://www.kinoafisha.info/movies/1250373/
59,Властелин Колец: Братство Кольца,приключения боевик фэнтези,2001,Новая Зеландия США,8.6,https://www.kinoafisha.info/movies/3337323/
60,Брат,боевик драма,1997,Россия,8.6,https://www.kinoafisha.info/movies/8098609/
61,Твое имя,анимация фэнтези мелодрама аниме ,2016,Япония,8.6,https://www.kinoafisha.info/movies/8329875/
62,Достать ножи,детектив драма криминал комедия,2019,США,8.6,https://www.kinoafisha.info/movies/8355336/
63,"Ну, погоди!",короткометражный анимация,1969,СССР,8.6,https://www.kinoafisha.info/movies/7943086/
64,Области тьмы,триллер,2011,США,8.6,https://www.kinoafisha.info/movies/8073979/
65,В метре друг от друга,мелодрама драма,2019,США,8.6,https://www.kinoafisha.info/movies/8355072/
66,Храброе сердце,военный биография боевик драма,1995,США,8.6,https://www.kinoafisha.info/movies/5413263/
67,Криминальное чтиво,драма,1994,США,8.6,https://www.kinoafisha.info/movies/4366576/
68,Назад в будущее,приключения фантастика комедия боевик,1985,США,8.6,https://www.kinoafisha.info/movies/5412787/
69,Пираты Карибского моря: На краю света,сказка боевик комедия приключения,2007,США,8.6,https://www.kinoafisha.info/movies/911976/
70,Титаник 3D,приключения драма мелодрама,1997,США,8.6,https://www.kinoafisha.info/movies/8119746/
71,Привидение,драма фэнтези триллер мистика комедия,1990,США,8.6,https://www.kinoafisha.info/movies/3677162/
72,12 стульев,комедия детектив,1976,СССР,8.6,https://www.kinoafisha.info/movies/8328344/
73,Отец,драма,2020,Великобритания Франция,8.6,https://www.kinoafisha.info/movies/8356999/
74,ВАЛЛ-И,семейный фэнтези анимация,2008,США,8.6,https://www.kinoafisha.info/movies/3338978/
75,Назад в будущее 3,приключения фантастика вестерн комедия боевик,1990,США,8.6,https://www.kinoafisha.info/movies/5412783/
76,Капернаум,драма,2018,Ливан Франция,8.6,https://www.kinoafisha.info/movies/8354582/
77,Я - легенда!,драма фантастика ужасы,2007,США,8.6,https://www.kinoafisha.info/movies/2070269/
78,Мстители: Война бесконечности,боевик фантастика,2018,США,8.6,https://www.kinoafisha.info/movies/8169903/
79,Собачья жизнь 2,семейный,2019,США,8.6,https://www.kinoafisha.info/movies/8354806/
80,Игры разума,мистика драма биография,2001,США,8.6,https://www.kinoafisha.info/movies/4108153/
81,Пятый элемент,приключения триллер боевик фантастика мелодрама,1997,Франция,8.6,https://www.kinoafisha.info/movies/3443661/
82,Сумерки,фэнтези мелодрама,2008,США,8.6,https://www.kinoafisha.info/movies/5165262/
83,Рапунцель: Запутанная История,семейный мюзикл анимация комедия,2010,США,8.5,https://www.kinoafisha.info/movies/8106336/
84,Ледниковый период,комедия приключения анимация семейный,2002,США,8.5,https://www.kinoafisha.info/movies/4621953/
85,"Добро пожаловать, или Посторонним вход воспрещен",семейный комедия,1964,СССР,8.5,https://www.kinoafisha.info/movies/1853092/
86,Игра,криминал приключения триллер,1997,США,8.5,https://www.kinoafisha.info/movies/8099498/
87,Бойцовский клуб,триллер боевик драма,1999,США Германия,8.5,https://www.kinoafisha.info/movies/3963633/
88,Как приручить дракона,анимация семейный сказка,2010,США,8.5,https://www.kinoafisha.info/movies/5636910/
89,Король Лев,фантастика семейный,2019,США,8.5,https://www.kinoafisha.info/movies/8329617/
90,Джанго освобожденный,вестерн,2012,США,8.5,https://www.kinoafisha.info/movies/8121248/
91,Зверополис,анимация боевик приключения семейный комедия,2016,США,8.5,https://www.kinoafisha.info/movies/8170146/
92,Чего хотят женщины,мелодрама комедия,2000,США,8.5,https://www.kinoafisha.info/movies/7420163/
93,Властелин Колец: Две крепости,приключения фэнтези драма,2002,США Новая Зеландия Германия,8.5,https://www.kinoafisha.info/movies/5227/
94,Загадочная история Бенджамина Баттона,мелодрама драма мистика фантастика,2008,США,8.5,https://www.kinoafisha.info/movies/3603047/
95,Пассажиры,фантастика приключения мелодрама,2016,США,8.5,https://www.kinoafisha.info/movies/8176775/
96,Адвокат дьявола,триллер драма,1997,США Германия,8.5,https://www.kinoafisha.info/movies/3341280/
97,Зов предков,приключения анимация семейный,2020,США,8.5,https://www.kinoafisha.info/movies/8353631/
98,Шерлок Холмс,драма боевик криминал приключения мистика,2009,США Великобритания,8.5,https://www.kinoafisha.info/movies/7583200/
99,Троя,исторический приключения,2004,США Мальта Великобритания,8.5,https://www.kinoafisha.info/movies/5591/
100,Круиз по джунглям,приключения,2021,США,8.5,https://www.kinoafisha.info/movies/8354223/
101,Холоп,комедия,2019,Россия,8.5,https://www.kinoafisha.info/movies/8330418/
102,Достучаться до небес,боевик драма приключения комедия,1997,Германия Нидерланды Бельгия,8.5,https://www.kinoafisha.info/movies/7275899/
103,Веном,фантастика боевик триллер,2018,США,8.5,https://www.kinoafisha.info/movies/8329443/
104,Гарри Поттер и Дары смерти. Часть вторая,семейный фэнтези драма мистика приключения,2011,США Великобритания,8.5,https://www.kinoafisha.info/movies/7667825/
105,Дневник памяти,драма мелодрама,2004,США,8.5,https://www.kinoafisha.info/movies/5676/
106,Маленькие женщины,мелодрама драма,2019,США,8.5,https://www.kinoafisha.info/movies/8355161/
107,Кощей. Начало,анимация приключения семейный,2021,Россия,8.5,https://www.kinoafisha.info/movies/8364380/
108,Железный человек,приключения фантастика боевик триллер,2008,США,8.5,https://www.kinoafisha.info/movies/1186688/
109,Полицейский из Беверли-Хиллз 4,боевик триллер комедия,,США,8.5,https://www.kinoafisha.info/movies/4982362/
110,Мстители: Финал,боевик фантастика,2019,США,8.5,https://www.kinoafisha.info/movies/8319689/
111,Остров проклятых,драма мистика триллер,2009,США,8.5,https://www.kinoafisha.info/movies/5280353/
112,Пираты Карибского моря: Сундук мертвеца,боевик сказка комедия приключения,2006,США,8.4,https://www.kinoafisha.info/movies/533610/
113,Веном 2,фантастика боевик,2021,США,8.4,https://www.kinoafisha.info/movies/8356393/
114,Хоббит: Нежданное путешествие,фэнтези приключения,2012,США,8.4,https://www.kinoafisha.info/movies/5567540/
115,Шрэк,анимация семейный комедия,2001,США,8.4,https://www.kinoafisha.info/movies/5625/
116,"Жизнь, как она есть",комедия,2010,США,8.4,https://www.kinoafisha.info/movies/7918898/
117,Джуманджи,семейный триллер комедия приключения фантастика драма,1995,США,8.4,https://www.kinoafisha.info/movies/4273977/
118,Сумерки. Сага. Новолуние,фэнтези мелодрама,2009,США,8.4,https://www.kinoafisha.info/movies/7594752/
119,Офицеры,драма мелодрама,1971,СССР,8.4,https://www.kinoafisha.info/movies/7862549/
120,Кунг-Фу Панда,комедия анимация,2008,США,8.4,https://www.kinoafisha.info/movies/2108341/
121,Движение вверх,спорт драма,2017,Россия,8.4,https://www.kinoafisha.info/movies/8323017/
122,Пираты Карибского моря: Мертвецы не рассказывают сказки,комедия фэнтези боевик приключения,2017,США,8.4,https://www.kinoafisha.info/movies/8150238/
123,Грань будущего,фантастика боевик,2014,США,8.4,https://www.kinoafisha.info/movies/8134704/
124,Анастасия,анимация сказка драма мюзикл семейный приключения,1997,США,8.4,https://www.kinoafisha.info/movies/5640854/
125,Алита: Боевой ангел,фантастика боевик приключения мелодрама,2018,США Канада Аргентина,8.4,https://www.kinoafisha.info/movies/8329213/
126,Один день,комедия мелодрама,2011,Великобритания,8.4,https://www.kinoafisha.info/movies/8085369/
127,День сурка,комедия мелодрама фантастика,1993,США,8.4,https://www.kinoafisha.info/movies/5412773/
128,Хэнкок,комедия фантастика боевик,2008,США,8.4,https://www.kinoafisha.info/movies/4172734/
129,Принц Персии: Пески времени,приключения мелодрама боевик фэнтези,2010,США,8.4,https://www.kinoafisha.info/movies/4876565/
130,Живая сталь,драма боевик,2011,США,8.4,https://www.kinoafisha.info/movies/7907273/
131,Красавица и чудовище,сказка мелодрама мюзикл семейный анимация,1991,США,8.4,https://www.kinoafisha.info/movies/5388337/
132,Брестская крепость,драма военный,2010,Россия Беларусь,8.4,https://www.kinoafisha.info/movies/7949294/
133,"Поймай меня, если сможешь",комедия,2002,США,8.4,https://www.kinoafisha.info/movies/5239/
134,Добрыня Никитич и Змей Горыныч,сказка комедия анимация семейный приключения,2006,Россия,8.4,https://www.kinoafisha.info/movies/611656/
135,Брат 2,боевик криминал,2000,США Россия,8.4,https://www.kinoafisha.info/movies/8125705/
136,Рататуй,комедия семейный анимация,2007,США,8.4,https://www.kinoafisha.info/movies/1102801/
137,Семь,мистика криминал триллер,1995,США,8.4,https://www.kinoafisha.info/movies/3977952/
138,Сонная лощина,триллер ужасы фантастика,1999,США,8.4,https://www.kinoafisha.info/movies/1068693/
139,Гарри Поттер и Дары смерти. Часть первая,семейный фэнтези драма мистика приключения,2010,США Великобритания,8.4,https://www.kinoafisha.info/movies/7667823/
140,Серебряные коньки,приключения фэнтези,2020,Россия,8.4,https://www.kinoafisha.info/movies/8355489/
141,Гарри Поттер и кубок огня,семейный приключения триллер фэнтези сказка,2005,США Великобритания,8.4,https://www.kinoafisha.info/movies/419476/
142,Три богатыря и шамаханская царица,сказка анимация,2010,Россия,8.3,https://www.kinoafisha.info/movies/7627392/
143,Человек-паук: Вдали от дома,фантастика боевик,2019,США,8.3,https://www.kinoafisha.info/movies/8353994/
144,По соображениям совести,военный драма биография,2016,США,8.3,https://www.kinoafisha.info/movies/8325361/
145,Служебный роман,мелодрама комедия,1977,СССР,8.3,https://www.kinoafisha.info/movies/5617111/
146,Мумия,триллер комедия боевик сказка ужасы приключения,1999,США,8.3,https://www.kinoafisha.info/movies/5372442/
147,Крепкий орешек,триллер криминал боевик,1988,США,8.3,https://www.kinoafisha.info/movies/5038744/
148,Мистер и миссис Смит,триллер приключения боевик мелодрама,2005,США,8.3,https://www.kinoafisha.info/movies/281977/
149,Вперёд,анимация семейный приключения комедия фэнтези,2019,США,8.3,https://www.kinoafisha.info/movies/8355472/
150,Логан,боевик фантастика,2017,США,8.3,https://www.kinoafisha.info/movies/8175756/
151,Камуфляж и шпионаж,анимация фантастика семейный,2019,США,8.3,https://www.kinoafisha.info/movies/8328970/
152,Легенда №17,биография спорт,2012,Россия,8.3,https://www.kinoafisha.info/movies/8141660/
153,Босс-молокосос 2,анимация,2021,США,8.3,https://www.kinoafisha.info/movies/8329874/
154,Гарри Поттер и Тайная Комната,мистика приключения сказка семейный,2002,США Великобритания Германия,8.3,https://www.kinoafisha.info/movies/5237/
155,Динозавр,семейный приключения анимация,2000,США,8.3,https://www.kinoafisha.info/movies/209567/
156,Шерлок Холмс: Игра теней,приключения криминал,2011,США,8.3,https://www.kinoafisha.info/movies/8094240/
157,Черный лебедь,драма триллер,2010,США,8.3,https://www.kinoafisha.info/movies/7678205/
158,Университет монстров,комедия семейный фэнтези приключения анимация,2013,США,8.3,https://www.kinoafisha.info/movies/8133574/
159,Константин: повелитель тьмы,триллер боевик сказка драма,2005,США Германия,8.3,https://www.kinoafisha.info/movies/185063/
160,Господин Никто,фантастика фэнтези драма мелодрама,2009,Бельгия Канада Франция,8.3,https://www.kinoafisha.info/movies/7756882/
161,РЭД,комедия боевик,2010,США,8.3,https://www.kinoafisha.info/movies/7908442/
162,Темный рыцарь,драма мистика триллер боевик,2008,США,8.3,https://www.kinoafisha.info/movies/3229744/
163,Гарри Поттер и философский камень,приключения семейный сказка,2001,Великобритания США,8.3,https://www.kinoafisha.info/movies/5387519/
164,Престиж,сказка триллер фантастика драма,2006,США Великобритания,8.3,https://www.kinoafisha.info/movies/1068657/
165,Шрэк 2,сказка комедия анимация приключения семейный,2004,США,8.3,https://www.kinoafisha.info/movies/5639/
166,Притворись моей женой,мелодрама комедия,2011,США,8.3,https://www.kinoafisha.info/movies/8074807/
167,Рио,комедия семейный анимация приключения,2011,США,8.3,https://www.kinoafisha.info/movies/8115879/
168,Телохранитель киллера,боевик комедия,2017,США,8.3,https://www.kinoafisha.info/movies/8326545/
169,Ледниковый период 3: Эра динозавров,приключения анимация семейный комедия,2009,США,8.3,https://www.kinoafisha.info/movies/4996013/
170,Время,фантастика,2011,США,8.3,https://www.kinoafisha.info/movies/8096881/
171,Дом Gucci,криминал драма триллер,2021,США,8.3,https://www.kinoafisha.info/movies/8364421/
172,Форсаж 5,боевик приключения,2011,США,8.3,https://www.kinoafisha.info/movies/8027051/
173,Майкл Джексон: Вот и все,документальный мюзикл,2009,США,8.3,https://www.kinoafisha.info/movies/7784959/
174,Заложница,триллер боевик,2008,Франция,8.3,https://www.kinoafisha.info/movies/4004541/
175,Огонь,драма,2020,Россия,8.3,https://www.kinoafisha.info/movies/8354437/
176,Жестокие игры,мелодрама драма триллер,1999,США,8.3,https://www.kinoafisha.info/movies/3923119/
177,Чужой,ужасы фантастика триллер,1979,США Великобритания,8.3,https://www.kinoafisha.info/movies/4722633/
178,Трансформеры,боевик приключения фантастика,2007,США,8.3,https://www.kinoafisha.info/movies/1090233/
179,Аладдин,сказка мюзикл семейный анимация комедия приключения,1992,США,8.3,https://www.kinoafisha.info/movies/4479302/
180,Тор: Рагнарёк,фэнтези драма боевик,2017,США,8.3,https://www.kinoafisha.info/movies/8170452/
181,От заката до рассвета,боевик триллер ужасы,1995,США,8.3,https://www.kinoafisha.info/movies/5411584/
182,Апокалипсис,боевик приключения драма,2006,США,8.3,https://www.kinoafisha.info/movies/1020519/
183,До встречи с тобой,мелодрама,2016,США,8.3,https://www.kinoafisha.info/movies/8178415/
184,Брюс Всемогущий,сказка комедия,2003,США,8.3,https://www.kinoafisha.info/movies/5409/
185,Властелин Колец: Возвращение Короля,фэнтези,2003,США Новая Зеландия Германия,8.3,https://www.kinoafisha.info/movies/5475/
186,"Всегда говори ""Да""",комедия,2008,США,8.3,https://www.kinoafisha.info/movies/4273910/
187,Индиана Джонс и последний крестовый Поход,фантастика боевик приключения триллер,1989,США,8.3,https://www.kinoafisha.info/movies/4746888/
188,Терминатор,триллер фантастика боевик,1984,Великобритания США,8.3,https://www.kinoafisha.info/movies/4035680/
189,Отступники,криминал драма триллер,2006,США,8.3,https://www.kinoafisha.info/movies/923488/
190,Маска,фэнтези криминал комедия,1994,США,8.3,https://www.kinoafisha.info/movies/3659042/
